CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
,IARS,,,,,GYPC,,LIMS2
,IER5L,,,,,SAA4,,MMP13
,IFIT2,,,,,APOC3,,ITGA2
,IFITM2,,,,,FBP2,,HRG
,IGJ,,,,,LCAT,,TUBB
,IL10RA,,,,,MLF1,,HTATIP2
,IL17C,,,,,C2orf40,,HOXA1
,IL17F,,,,,ABCA10,,ARHGDIA
,INSC,,,,,ABCA5,,PAK7
,INSL5,,,,,ABCA6,,TRPM7
,IRAK1,,,,,ABCA9,,TRPC3
,IRX5,,,,,ABI3BP,,TRPM4
,KAL1,,,,,ACOX1,,SCRT1
,KAT2A,,,,,ACVRL1,,EED
,KAT2B,,,,,ADAM12,,ANXA7
,KCNH1,,,,,ADAMTS8,,PRKCE
,KCNJ11,,,,,ADCY5,,GAPDHS
,KIF13B,,,,,ADH1A,,PAK4
,KIF14,,,,,AEN,,CKS2
,KIF23,,,,,AKAP2,,ICK
,KIFC1,,,,,AKAP7,,FOXP2
,KLB,,,,,ALDH1L1,,CCL19
,KLF12,,,,,ALDH6A1,,CXCL12
,KLF9,,,,,ALKBH2,,RGMA
,KLK13,,,,,AMELX,,PGLS
,KREMEN2,,,,,AMPD1,,ENPP1
,KRT17,,,,,ANGPT2,,CPA6
,LEMD1,,,,,ANLN,,MIR215
,LMO3,,,,,ANXA3,,GHR
,LMTK3,,,,,APCDD1,,FLNB
,LOXL4,,,,,APLP1,,MAP3K5
,LRRC4C,,,,,AQP9,,GSTZ1
,LXN,,,,,ARHGAP6,,USF1
,MADCAM1,,,,,ARNTL2,,CTLA4
,MAGEA6,,,,,ARTN,,THPO
,MALL,,,,,ASB9,,BST2
,MAOB,,,,,ASGR1,,ZDHHC14
,MAP4K1,,,,,ASNS,,DRAM2
,MAPK4,,,,,ATAD2,,DSC3
,MATK,,,,,ATG9B,,PPM1A
,MCM10,,,,,ATIC,,TCF19
,MGAM,,,,,ATP11A,,HOPX
,MGLL,,,,,AVPR1B,,BRD7
,MMP8,,,,,AZGP1,,TMEM8B
,MMRN1,,,,,BACH2,,ADAMTS18
,MPP3,,,,,BHMT2,,TFDP3
,MRVI1,,,,,BLK,,DR1
,MSI2,,,,,BTK,,DACH1
,MT1A,,,,,BVES,,COL4A2
,MT1DP,,,,,C3orf35,,THBD
,MT1E,,,,,C9orf50,,DOK2
,MT1H,,,,,CA10,,PMAIP1
,MTM1,,,,,CA4,,FRK
,MTNR1A,,,,,CALCA,,VIPR1
,MUSK,,,,,CAPN2,,HDAC10
,MXD1,,,,,CASP12,,TXNIP
,MXI1,,,,,CBFB,,IFNA2
,NAT10,,,,,CBLN2,,CHI3L1
,NCAN,,,,,CCDC80,,ZNF160
,NDST4,,,,,CCL13,,SIX1
,NEFH,,,,,CCL24,,TAC1
,NEGR1,,,,,CCL8,,CTBP1
,NEIL3,,,,,CCNB1IP1,,TTN
,NEUROG3,,,,,CCR9,,LDOC1
,NFE2L3,,,,,CD200R1,,MKNK1
,NGB,,,,,CD3E,,SPHK2
,NKRF,,,,,CD7,,SAV1
,NMNAT2,,,,,CD70,,ARHGAP4
,NMU,,,,,CDC45,,KDM4C
,NOC3L,,,,,CDC7,,FPR3
,NPM3,,,,,CDHR2,,POSTN
,NRG2,,,,,CDHR5,,ENOX2
,NRG4,,,,,CDKN3,,CHD1
,NUP210,,,,,CES3,,DDX58
,OIP5,,,,,CFD,,DFNA5
,ORM2,,,,,CHGA,,CARTPT
,OSBPL1A,,,,,CHRFAM7A,,CHRNA3
,OTC,,,,,CHRNB4,,GNMT
,OTX1,,,,,CHST15,,RPS6KA1
,P2RX7,,,,,CITED2,,CCL8
,P2RY12,,,,,CKS2,,PDGFA
,PABPC1,,,,,CLCA2,,STOML1
,PAEP,,,,,CLCA4,,CR2
,PAK3,,,,,CLCN4,,CLDN23
,PAK6,,,,,CLDN23,,MFHAS1
,PALM2,,,,,CLDN6,,PPP1R3B
,PAX9,,,,,CLDN9,,CLDN6
,PDE2A,,,,,CLEC4G,,CLDN8
,PDK4,,,,,CLSPN,,CLDN16
,PERP,,,,,CMKLR1,,CLDN17
,PINK1,,,,,COL5A2,,CLDN22
,PITX2,,,,,COMP,,BOK
,PJA2,,,,,CORIN,,ZFP36L1
,PLA2G2D,,,,,CPA3,,ZKSCAN1
,PLA2G3,,,,,CPA4,,CAPG
,PLA2G5,,,,,CPA6,,KRT14
,PLCD1,,,,,CPEB3,,HPN
,PLXNA1,,,,,CPT1A,,RFC1
,PMP22,,,,,CPT2,,REG3A
,POLR1D,,,,,CTNNA3,,SLCO2B1
,POP1,,,,,CXCL17,,SLCO3A1
,POU2F2,,,,,CYP11A1,,SLCO1A2
,PPIL1,,,,,CYP2F1,,CTNNBIP1
,PPM1H,,,,,CYTL1,,PLCD1
,PPM1L,,,,,DAND5,,SLC7A11
,PPP1R12B,,,,,DDN,,TCEAL7
,PPP1R13L,,,,,DDX21,,VLDLR
,PPP1R3C,,,,,DEFB1,,HES2
,PPP2R2B,,,,,DPCR1,,CCL25
,PRKG2,,,,,DSG1,,PIAS1
,PROKR1,,,,,DUSP10,,PIAS4
,PRSS22,,,,,DUSP2,,ITGA4
,PTPRU,,,,,DYX1C1,,UCHL1
,PTRF,,,,,DZIP1,,GPR35
,PTX3,,,,,E2F5,,SOX4
,PYGO1,,,,,EBI3,,COL11A1
,RAET1G,,,,,ECT2,,TRPV6
,RANGAP1,,,,,EDN2,,SLC34A2
,RARRES2,,,,,EEF1E1,,MAGEA3
,RARRES3,,,,,EIF3B,,FNBP1
,RASGRP2,,,,,ELAVL4,,PTENP1
,RDH5,,,,,ENAM,,EMX2
,RELT,,,,,ENTPD5,,ITGA1
,RERG,,,,,EPHA10,,PHF10
,RETNLB,,,,,EPHB6,,USF2
,RFC3,,,,,EPHX4,,CUBN
,RGS16,,,,,EVI2B,,CRX
,RGS2,,,,,EXOSC4,,CORIN
,RP9,,,,,EXTL1,,CAPN9
,RPL21,,,,,FABP4,,FEZF1
,RPL7,,,,,FAM101A,,UBA52
,RPN2,,,,,FAM3D,,RPS27A
,RPS6KL1,,,,,FAM83H,,TACC3
,RRH,,,,,FBLN1,,GDF15
,RSPO3,,,,,FBXO32,,TNFRSF9
,RUNDC3B,,,,,FERMT2,,FCGR3A
,SAA2,,,,,FERMT3,,RPS6KB1
,SAMD14,,,,,FGF8,,SNAI3
,SAMSN1,,,,,FHL1,,LPAR3
,SCD,,,,,FJX1,,SUZ12
,SCIN,,,,,FLI1,,NNMT
,SDCCAG3,,,,,FNBP1,,MUC16
,SEC14L2,,,,,FOSL1,,HIPK1
,SEMA4G,,,,,FOXA1,,ADD1
,SEMA6D,,,,,FOXP2,,RPL6
,SERPINA5,,,,,FUT7,,CHEK2
,SESN2,,,,,FXYD5,,TP53BP1
,SGCE,,,,,GALNT8,,WHSC1
,SH3GL3,,,,,GAPDHS,,MDC1
,SIM2,,,,,GAS2,,NLRC4
,SIX3,,,,,GCKR,,MTA1
,SLC12A2,,,,,GCNT3,,BCAR1
,SLC16A12,,,,,GFI1,,MYT1L
,SLC16A7,,,,,GFI1B,,MYT1
,SLC23A1,,,,,GJA9,,ZNF664
,SLC25A23,,,,,GNA13,,CASZ1
,SLC2A4,,,,,GNAI1,,MYO5A
,SLC30A10,,,,,GP2,,GLS2
,SLC36A1,,,,,GPR180,,TRIM29
,SLC39A10,,,,,GPSM2,,ADRB2
,SLC4A4,,,,,GRM2,,AKAP12
,SLC6A14,,,,,GSC,,GNAO1
,SLC6A6,,,,,GSDMC,,STAG2
,SMAD9,,,,,GSTT2,,ADAM33
,SP6,,,,,GTPBP4,,SRSF6
,SPIB,,,,,GZMA,,MEF2A
,SPOCK2,,,,,HEPHL1,,ADH1C
,SQLE,,,,,HLA-DQA1,,HLA-C
,SRGN,,,,,HMMR,,VEGFD
,SRL,,,,,HMX2,,LAPTM4B
,SRPX,,,,,HOXD10,,BMP6
,ST3GAL4,,,,,HPCA,,PROK1
,ST6GALNAC1,,,,,HRASLS2,,FGF12
,ST8SIA1,,,,,HRK,,HSPG2
,ST8SIA4,,,,,HSP90AB1,,LARP7
,STAB1,,,,,HSPA1B,,7SK
,STIL,,,,,HULC,,EGLN1
,STK17B,,,,,IARS,,UNC5B
,STK33,,,,,IER5L,,AFF3
,STOM,,,,,IFIT2,,VCP
,STRA6,,,,,IFITM2,,PRDM4
,SULT1A2,,,,,IGJ,,HNRNPA0
,SYNPO2,,,,,IL10RA,,TNFRSF25
,TACR2,,,,,IL17C,,PPP1R13L
,TAL1,,,,,IL17F,,PERP
,TAS2R38,,,,,INSC,,IRAK1
,TCF7L1,,,,,INSL5,,YWHAB
,TCL1A,,,,,IRAK1,,TRAF3
,TCN2,,,,,IRX5,,TNFAIP3
,TEAD4,,,,,KAL1,,DUT
,TFAP2B,,,,,KAT2A,,HELLS
,TFR2,,,,,KAT2B,,CTSA
,TIMELESS,,,,,KCNH1,,SLC16A4
,TLR1,,,,,KCNJ11,,MCAT
,TLR10,,,,,KIF13B,,SLC16A1
,TMEM97,,,,,KIF14,,PPY
,TMPRSS13,,,,,KIF23,,PCDH8
,TMPRSS2,,,,,KIFC1,,STYK1
,TNFRSF11A,,,,,KLF12,,EREG
,TNFRSF11B,,,,,KLF9,,MIR106B
,TNFRSF12A,,,,,KLK13,,MIR93
,TNFSF11,,,,,KREMEN2,,LXN
,TNFSF12,,,,,KRT17,,WFDC1
,TNFSF9,,,,,LEMD1,,PDCL2
,TNNC1,,,,,LMO3,,NCR3
,TPH1,,,,,LMTK3,,KIR3DL1
,TPM2,,,,,LOXL4,,SULF2
,TREM1,,,,,LRRC4C,,SFRP4
,TREX2,,,,,LXN,,CDKN1C
,TRIM29,,,,,MADCAM1,,IFNGR2
,TRPC1,,,,,MAGEA6,,KDM4B
,TST,,,,,MALL,,CCNA1
,UCN2,,,,,MAOB,,CYP24A1
,UGDH,,,,,MAP4K1,,CDX4
,UGP2,,,,,MAPK4,,RASSF6
,UGT2B15,,,,,MATK,,KLK10
,UST,,,,,MCM10,,FGF23
,VAMP2,,,,,MGAM,,SP2
,VNN2,,,,,MGLL,,FOXA3
,VPS4B,,,,,MMP8,,BMP3
,VSIG1,,,,,MMRN1,,VEZT
,VWA5A,,,,,MPP3,,ESM1
,WASL,,,,,MRVI1,,RAG2
,WDHD1,,,,,MSI2,,EFNB1
,WDR66,,,,,MT1A,,ST8SIA4
,WDR77,,,,,MT1DP,,PIGR
,WIPF1,,,,,MT1E,,ALOX15
,WISP3,,,,,MT1H,,NRG4
,XPO5,,,,,MTM1,,GAGE1
,ZDHHC9,,,,,MTNR1A,,DUSP5
,ZIC2,,,,,MUSK,,RPL34
,ZNF703,,,,,MXD1,,NBN
,,,,,,MXI1,,GLYAT
,,,,,,NAT10,,CENPH
,,,,,,NCAN,,SLC16A12
,,,,,,NDST4,,P2RX7
,,,,,,NEFH,,CDH13
,,,,,,NEGR1,,DPYS
,,,,,,NEIL3,,MYO3A
,,,,,,NEUROG3,,FEZ1
,,,,,,NFE2L3,,LZTS1
,,,,,,NGB,,PSMB1
,,,,,,NKRF,,MIR182
,,,,,,NMNAT2,,NDN
,,,,,,NMU,,MYF5
,,,,,,NOC3L,,PAX7
,,,,,,NPM3,,PSMA6
,,,,,,NRG2,,TEAD4
,,,,,,NRG4,,CALD1
,,,,,,NUP210,,ARID5B
,,,,,,OIP5,,LATS2
,,,,,,OSBPL1A,,OSR2
,,,,,,OTC,,CRIM1
,,,,,,OTX1,,AJUBA
,,,,,,P2RX7,,GNL3
,,,,,,P2RY12,,CALCA
,,,,,,PABPC1,,PKP1
,,,,,,PAEP,,PKP2
,,,,,,PAK3,,PKP3
,,,,,,PAK6,,OPHN1
,,,,,,PALM2,,HRH4
,,,,,,PAX9,,G3BP1
,,,,,,PDE2A,,SH3BP5
,,,,,,PDK4,,OSR1
,,,,,,PERP,,EIF4G2
,,,,,,PINK1,,LIN28A
,,,,,,PITX2,,IRF9
,,,,,,PJA2,,IFNAR1
,,,,,,PLA2G2D,,GFI1
,,,,,,PLA2G3,,FOXH1
,,,,,,PLA2G5,,TTR
,,,,,,PLCD1,,SAE1
,,,,,,PLXNA1,,ICOS
,,,,,,PMP22,,HIPK3
,,,,,,POLR1D,,IGBP1
,,,,,,POP1,,LYN
,,,,,,POU2F2,,A1BG
,,,,,,PPIL1,,TSN
,,,,,,PPM1H,,EEF2K
,,,,,,PPM1L,,DEFB1
,,,,,,PPP1R12B,,GSTO2
,,,,,,PPP1R13L,,LMO1
,,,,,,PPP1R3C,,ACAN
,,,,,,PPP2R2B,,MECOM
,,,,,,PRKG2,,PRDM16
,,,,,,PROKR1,,LZIC
,,,,,,PRSS22,,MUS81
,,,,,,PTPRU,,SPARCL1
,,,,,,PTRF,,DUSP2
,,,,,,PTX3,,CADM3
,,,,,,PYGO1,,HMCN1
,,,,,,RAET1G,,PVRL3
,,,,,,RANGAP1,,PVRL1
,,,,,,RARRES2,,CADM2
,,,,,,RARRES3,,CADM4
,,,,,,RASGRP2,,PVRL4
,,,,,,RDH5,,PVRL2
,,,,,,RELT,,TMEM25
,,,,,,RERG,,PVR
,,,,,,RETNLB,,SDCBP
,,,,,,RFC3,,SDHD
,,,,,,RGS16,,ZFP64
,,,,,,RGS2,,DYM
,,,,,,RP9,,IMPDH2
,,,,,,RPL21,,AIRE
,,,,,,RPL7,,PGA5
,,,,,,RPN2,,STAR
,,,,,,RPS6KL1,,HS3ST2
,,,,,,RRH,,TIRAP
,,,,,,RSPO3,,TRIM28
,,,,,,RUNDC3B,,TLN2
,,,,,,SAA2,,MLPH
,,,,,,SAMD14,,RAB23
,,,,,,SAMSN1,,JAM3
,,,,,,SCD,,JAM2
,,,,,,SCIN,,PSMD10
,,,,,,SDCCAG3,,NDE1
,,,,,,SEC14L2,,JAK1
,,,,,,SEMA4G,,EGR3
,,,,,,SEMA6D,,SCN10A
,,,,,,SERPINA5,,ID2
,,,,,,SESN2,,DCD
,,,,,,SGCE,,UHRF1
,,,,,,SH3GL3,,SOCS3
,,,,,,SIM2,,SIRT3
,,,,,,SIX3,,SIRPA
,,,,,,SLC12A2,,TSPAN8
,,,,,,SLC16A12,,ADAM29
,,,,,,SLC16A7,,GNA12
,,,,,,SLC23A1,,B4GALNT2
,,,,,,SLC25A23,,ST3GAL6
,,,,,,SLC2A4,,DPYSL2
,,,,,,SLC30A10,,CST3
,,,,,,SLC36A1,,ANO5
,,,,,,SLC39A10,,VOPP1
,,,,,,SLC4A4,,ERCC6
,,,,,,SLC6A14,,LPL
,,,,,,SLC6A6,,ZC3H12A
,,,,,,SMAD9,,MAPK4
,,,,,,SP6,,AGER
,,,,,,SPIB,,TRAPPC4
,,,,,,SPOCK2,,ING2
,,,,,,SQLE,,NRK
,,,,,,SRGN,,TAOK1
,,,,,,SRL,,PDSS2
,,,,,,SRPX,,CASP8AP2
,,,,,,ST3GAL4,,TGFBI
,,,,,,ST6GALNAC1,,PPARD
,,,,,,ST8SIA1,,NUDT1
,,,,,,ST8SIA4,,CACNA1G
,,,,,,STAB1,,KITLG
,,,,,,STIL,,MIR133B
,,,,,,STK17B,,POLR2A
,,,,,,STK33,,PPP2R5E
,,,,,,STOM,,MIR34B
,,,,,,STRA6,,ADH1A
,,,,,,SULT1A2,,ADH7
,,,,,,SYNPO2,,RBM3
,,,,,,TACR2,,EPB41L3
,,,,,,TAL1,,ALOX5AP
,,,,,,TAS2R38,,CHEK1
,,,,,,TCF7L1,,CLEC4D
,,,,,,TCL1A,,PREP
,,,,,,TCN2,,CKS1B
,,,,,,TEAD4,,XG
,,,,,,TFAP2B,,JMJD1C
,,,,,,TFR2,,KDM3A
,,,,,,TIMELESS,,MAGED2
,,,,,,TLR1,,CEL
,,,,,,TLR10,,NR4A1
,,,,,,TMEM97,,SLC19A3
,,,,,,TMPRSS13,,GNB2L1
,,,,,,TMPRSS2,,PTGER1
,,,,,,TNFRSF11A,,PTGER3
,,,,,,TNFRSF11B,,EIF4A3
,,,,,,TNFRSF12A,,UPF1
,,,,,,TNFSF11,,AHCYL1
,,,,,,TNFSF12,,BICC1
,,,,,,TNFSF9,,SLIT1
,,,,,,TNNC1,,FOXJ2
,,,,,,TPH1,,TCF3
,,,,,,TPM2,,MR1
,,,,,,TREM1,,CCT4
,,,,,,TREX2,,TBCA
,,,,,,TRIM29,,PFDN4
,,,,,,TRPC1,,CCT2
,,,,,,UCN2,,ARHGEF7
,,,,,,UGDH,,CCNG2
,,,,,,UGT2B15,,MNT
,,,,,,UST,,WDR66
,,,,,,VAMP2,,IFI27
,,,,,,VNN2,,PER1
,,,,,,VPS4B,,SDHB
,,,,,,VSIG1,,SELP
,,,,,,VWA5A,,KAT2A
,,,,,,WASL,,NDUFA13
,,,,,,WDHD1,,PRLR
,,,,,,WDR66,,GNAI3
,,,,,,WDR77,,CHRNE
,,,,,,WIPF1,,PLCG2
,,,,,,WISP3,,TLN1
,,,,,,XPO5,,IL16
,,,,,,ZDHHC9,,USP15
,,,,,,ZIC2,,ASS1
,,,,,,ZNF703,,ADRA1B
,,,,,,EGFR,,TNFRSF10C
,,,,,,BAX,,CDH4
,,,,,,FHIT,,ASCL2
,,,,,,TYMS,,SLIT2
,,,,,,VEGFC,,GPX4
,,,,,,SDHA,,GPX2
,,,,,,CASP8,,SUGT1
,,,,,,IFNG,,NTHL1
,,,,,,CD80,,CXCL5
,,,,,,CDK6,,AGO1
,,,,,,STAT1,,WNT4
,,,,,,VDR,,U6
,,,,,,SLC22A16,,ANAPC1
,,,,,,XPA,,ARID3B
,,,,,,CKLF,,ARID3A
,,,,,,ANO1,,ARID3C
,,,,,,GRB7,,MS4A1
,,,,,,IVL,,TRAF1
,,,,,,ATG5,,SDC1
,,,,,,LATS2,,FCRL3
,,,,,,GPS1,,BBC3
,,,,,,FADD,,FCER2
,,,,,,MCM4,,RAB11A
,,,,,,TAP1,,MAPRE1
,,,,,,MMP14,,MIR10B
,,,,,,LIN28A,,HOXD4
,,,,,,PPFIA1,,ALPL
,,,,,,HOXA13,,POU3F2
,,,,,,HOXC6,,POU3F3
,,,,,,PSCA,,TNFRSF18
,,,,,,RHBDF2,,CPB2
,,,,,,SATB1,,AMBP
,,,,,,TAP2,,KLF17
,,,,,,KMT2D,,TTK
,,,,,,LRP1B,,FAT2
,,,,,,ZNF750,,LNX1
,,,,,,APEX1,,MOB1B
,,,,,,AJUBA,,FRMD6
,,,,,,HRAS,,FAT3
,,,,,,STRA13,,MOB1A
,,,,,,PRTN3,,WWC1
,,,,,,MYB,,WWC2
,,,,,,UGT2B4,,FRMD1
,,,,,,CDCP1,,WWTR1
,,,,,,CTNND2,,HEXA
,,,,,,DMC1,,GJB2
,,,,,,FRY,,CTCF
,,,,,,FZD2,,PTGR2
,,,,,,GHRL,,UPRT
,,,,,,HOTAIR,,EFNB2
,,,,,,HOXB7,,DAP3
,,,,,,HOXC8,,TNFSF14
,,,,,,MDK,,VCAN
,,,,,,RPRM,,ARL6IP5
,,,,,,TNFRSF25,,ZNF148
,,,,,,TRAF2,,PRDM2
,,,,,,XPO1,,DDAH1
,,,,,,ANKRD11,,HNRNPH1
,,,,,,ATRX,,PSMC3
,,,,,,CACNA2D3,,KIF1B
,,,,,,CREBBP,,EN1
,,,,,,DNAH9,,ZNF610
,,,,,,DOCK2,,RSPO2
,,,,,,GRM3,,BMP1
,,,,,,JMJD1C,,WISP3
,,,,,,MYH6,,MIR122
,,,,,,MYH7,,SLC15A1
,,,,,,PZP,,COL3A1
,,,,,,REV3L,,CYP2C18
,,,,,,SOX5,,IGLL1
,,,,,,ZBTB20,,PIN1
,,,,,,ZNF208,,TDG
,,,,,,PDE4D,,MYO1A
,,,,,,FOXC1,,ATG12
,,,,,,GMDS,,ATG9B
,,,,,,ANG,,ATG2B
,,,,,,RNASE2,,CR1
,,,,,,SALL2,,ATN1
,,,,,,PRMT5,,PRDX4
,,,,,,SLC7A8,,PDXK
,,,,,,CARS,,TNFRSF12A
,,,,,,CD81,,TNFSF12
,,,,,,CDKN1C,,PARD3
,,,,,,CTSD,,PTPRJ
,,,,,,IRF7,,PLA2G4A
,,,,,,SIRT3,,LGALS4
,,,,,,MPG,,SLC4A2
,,,,,,BTG3,,NTS
,,,,,,PRDM1,,ANKRD6
,,,,,,COL10A1,,CELSR3
,,,,,,FOXO3,,MAGI3
,,,,,,FRK,,DVL3
,,,,,,DSE,,DVL2
,,,,,,SOBP,,CELSR2
,,,,,,MMS22L,,KNG1
,,,,,,RPS6KA1,,FBP2
,,,,,,DHDDS,,LGMN
,,,,,,RAC3,,CA2
,,,,,,TCF3,,MET
,,,,,,DOT1L,,F3
,,,,,,KISS1R,,CD4
,,,,,,IKBKB,,CD44
,,,,,,KAT6A,,CD80
,,,,,,CUL2,,EGF
,,,,,,CIB1,,EGFR
,,,,,,GLI2,,AGT
,,,,,,GRHL2,,CDH1
,,,,,,NEFM,,POR
,,,,,,HAL,,GCG
,,,,,,NRG3,,AFP
,,,,,,APOC2,,CD28
,,,,,,ASPA,,SLC2A1
,,,,,,ANGPTL3,,STS
,,,,,,AJAP1,,NOV
,,,,,,RGS22,,ALB
,,,,,,ANGPTL7,,GRP
,,,,,,AQP4,,CA4
,,,,,,BANF1,,HLA-A
,,,,,,CBX8,,MAG
,,,,,,CDCA3,,CD34
,,,,,,CLDN4,,CD164
,,,,,,COL1A1,,NOS2
,,,,,,DIRAS1,,BRCA1
,,,,,,E2F8,,CA1
,,,,,,EFNB1,,SDS
,,,,,,ENO1,,APOB
,,,,,,ERN1,,INS
,,,,,,FAM60A,,ERBB4
,,,,,,FANCG,,DCC
,,,,,,FOXP1,,MCC
,,,,,,GAB2,,FGFR2
,,,,,,GPT2,,LDLR
,,,,,,HN1,,CD19
,,,,,,HOXA1,,CDK4
,,,,,,HOXA10,,CAT
,,,,,,HOXB9,,CCK
,,,,,,HOXC9,,MYC
,,,,,,HOXD9,,TP53
,,,,,,IDH2,,FAS
,,,,,,IL22RA2,,TAP1
,,,,,,INCENP,,TAP2
,,,,,,JUP,,CA11
,,,,,,KIF22,,IKBKB
,,,,,,KPNA2,,CDX2
,,,,,,LY6E,,CCS
,,,,,,MAOA,,DNMT1
,,,,,,MCM6,,ADA
,,,,,,NFIA,,GEM
,,,,,,OLR1,,FGFR3
,,,,,,OMD,,CRP
,,,,,,OSR1,,ABCG2
,,,,,,PLA2G7,,TEP1
,,,,,,PRAME,,ATM
,,,,,,PRDM16,,SRC
,,,,,,PRKAG2,,CLC
,,,,,,PTH,,CD22
,,,,,,RFC4,,CXCL2
,,,,,,SNX10,,GIP
,,,,,,SORBS2,,MBP
,,,,,,TFF2,,RHO
,,,,,,THRB,,ANG
,,,,,,THSD4,,CCL2
,,,,,,TK1,,CCL21
,,,,,,TLE2,,CD46
,,,,,,TMED6,,CYP2A6
,,,,,,TTF2,,ST7
,,,,,,UBE2S,,RUNX1
,,,,,,UBL3,,EPHB2
,,,,,,UMOD,,AXL
,,,,,,UPRT,,ARC
,,,,,,ZNF331,,HDC
,,,,,,JUN,,GPT
,,,,,,GPC3,,LBP
,,,,,,CD34,,S100A2
,,,,,,MVD,,S100A8
,,,,,,RHO,,S100A9
,,,,,,RB1,,BID
,,,,,,FOS,,PTH
,,,,,,CYP2E1,,MGA
,,,,,,ADM,,RAN
,,,,,,IGF1R,,RET
,,,,,,PPARA,,CD82
,,,,,,TGFA,,S100P
,,,,,,NQO1,,PAM
,,,,,,MAP2K1,,ERBB2
,,,,,,GNMT,,EPO
,,,,,,CCL2,,SST
,,,,,,CCL4,,MPO
,,,,,,KLF6,,CGA
,,,,,,LOX,,KIT
,,,,,,SQSTM1,,RAC3
,,,,,,TTPA,,MIP
,,,,,,PRF1,,ETV4
,,,,,,SOCS3,,CXCL10
,,,,,,EGR1,,COL1A1
,,,,,,NFKB1,,COL1A2
,,,,,,GGT1,,FOS
,,,,,,ETS1,,PGF
,,,,,,DKK1,,CBFB
,,,,,,IGFBP3,,AGA
,,,,,,CD274,,ADAM15
,,,,,,ALDH2,,EPHA2
,,,,,,DNMT3A,,CISH
,,,,,,CCR1,,ZNF217
,,,,,,HSPB1,,PDGFRA
,,,,,,PODXL,,CA3
,,,,,,RGN,,ROR1
,,,,,,FAP,,ROR2
,,,,,,ACSL4,,EMP1
,,,,,,FUT3,,POU2F1
,,,,,,JUNB,,POU2F2
,,,,,,MGAT3,,CKB
,,,,,,HNF1B,,TLR1
,,,,,,ALDOA,,MUSK
,,,,,,ALDOB,,GLI2
,,,,,,PDLIM5,,GLI3
,,,,,,TLR2,,CELSR1
,,,,,,PIP,,PTK7
,,,,,,EIF4E,,CRK
,,,,,,ING1,,TLR2
,,,,,,CDKN2C,,BDNF
,,,,,,CYP2C19,,MSX1
,,,,,,NOS2,,RORA
,,,,,,SPRY2,,HBD
,,,,,,LIN28B,,LIF
,,,,,,CASP2,,GIF
,,,,,,SDC1,,ANGPT1
,,,,,,CEBPA,,NMU
,,,,,,G6PD,,PML
,,,,,,MAGEC2,,IL12A
,,,,,,MICB,,TKT
,,,,,,SRD5A2,,VIP
,,,,,,THBS1,,OTC
,,,,,,TRIM24,,CDC6
,,,,,,ADAM9,,IGFBP1
,,,,,,RIPK1,,IGFBP2
,,,,,,BHMT,,CEBPA
,,,,,,DIO3,,CCR4
,,,,,,CD82,,PGR
,,,,,,CYR61,,BTC
,,,,,,ETS2,,HK2
,,,,,,FHL2,,FHL2
,,,,,,FUT6,,LEP
,,,,,,GJB2,,CYP3A4
,,,,,,MAG,,ABCB1
,,,,,,MAP3K5,,CEACAM5
,,,,,,RARB,,FGF6
,,,,,,TFPI2,,S100A12
,,,,,,TNFRSF18,,ALK
,,,,,,CUL1,,CCL5
,,,,,,NNMT,,CBL
,,,,,,ADAM8,,RAD1
,,,,,,MTTP,,PDF
,,,,,,SAV1,,FHL1
,,,,,,HDAC4,,CDA
,,,,,,LAMP1,,TEC
,,,,,,NQO2,,GSC
,,,,,,IRS2,,CD7
,,,,,,LECT2,,SHBG
,,,,,,AKR7A3,,DMD
,,,,,,ATF5,,PDGFRB
,,,,,,CBS,,CCDC6
,,,,,,CEACAM6,,HOXA10
,,,,,,CXCR2,,BCL6
,,,,,,FBP1,,ABCC1
,,,,,,GADD45B,,BTG2
,,,,,,GADD45G,,HMGA1
,,,,,,ID2,,HCK
,,,,,,LAMA4,,LTK
,,,,,,NR0B2,,NTRK3
,,,,,,NR4A1,,CCL3
,,,,,,RND3,,BMX
,,,,,,SLC1A2,,CHD5
,,,,,,SMAD6,,RBP2
,,,,,,TFDP3,,CAST
,,,,,,WEE1,,CYP2C9
,,,,,,ABCA1,,S100A11
,,,,,,HSPA8,,SHE
,,,,,,BAG3,,FGFR4
,,,,,,CCNC,,PNP
,,,,,,ADH5,,CX3CR1
,,,,,,CDK5,,SPN
,,,,,,MAP3K7,,OAT
,,,,,,WASF1,,CDC7
,,,,,,RHEB,,SCD
,,,,,,SOX1,,CIT
,,,,,,TFDP1,,AGR2
,,,,,,ATF3,,MME
,,,,,,BMX,,JUN
,,,,,,CCNE2,,CPM
,,,,,,CCR4,,CD33
,,,,,,CD200,,MYB
,,,,,,CD226,,ARNT
,,,,,,CDH13,,FLT4
,,,,,,CHKA,,ETS2
,,,,,,CLDN10,,EPHA3
,,,,,,CYP2B6,,MAF
,,,,,,CYP7B1,,EPHB3
,,,,,,ELAVL2,,SFN
,,,,,,FGL1,,CHGA
,,,,,,GATA6,,PPARG
,,,,,,IL27,,RARB
,,,,,,MIA2,,AFM
,,,,,,PAX8,,CD81
,,,,,,PDCD1LG2,,VDR
,,,,,,PDGFC,,CD151
,,,,,,SLA,,HOXC6
,,,,,,SLCO2B1,,PLG
